Jahreszeit,Temperatur,Niederschlag
Herbst,20.5,0.0
Herbst,20.0,0.0
Herbst,18.6,0.0
Herbst,14.2,7.1
Herbst,12.4,21.0
Herbst,9.6,0.7
Herbst,7.7,0.9
Herbst,8.6,4.7
Herbst,9.3,0.0
Herbst,10.7,0.0
Herbst,14.0,0.0
Herbst,13.8,0.0
Herbst,16.4,0.0
Herbst,16.0,1.0
Herbst,15.9,0.0
Herbst,16.4,0.0
Herbst,16.2,0.1
Herbst,15.4,0.4
Herbst,13.1,11.8
Herbst,13.0,20.8
Herbst,14.0,13.5
Herbst,11.4,7.4
Herbst,8.4,3.1
Herbst,8.2,0.0
Herbst,10.4,5.1
Herbst,10.7,5.2
Herbst,9.2,1.6
Herbst,7.7,0.0
Herbst,8.4,0.0
Herbst,7.2,0.0
Herbst,8.6,0.0
Herbst,14.0,4.2
Herbst,15.1,4.9
Herbst,12.9,39.7
Herbst,10.5,7.3
Herbst,7.1,0.0
Herbst,7.1,2.5
Herbst,7.2,0.0
Herbst,5.9,3.4
Herbst,7.4,0.0
Herbst,14.3,0.3
Herbst,15.3,0.0
Herbst,14.4,7.7
Herbst,12.5,1.6
Herbst,12.9,0.3
Herbst,14.2,4.0
Herbst,10.7,0.0
Herbst,8.8,0.0
Herbst,9.4,0.0
Herbst,13.1,0.0
Herbst,13.8,0.0
Herbst,11.9,0.2
Herbst,12.4,1.1
Herbst,11.4,3.5
Herbst,10.9,0.8
Herbst,10.6,0.0
Herbst,8.4,0.9
Herbst,7.7,0.8
Herbst,5.5,0.0
Herbst,7.2,0.0
Herbst,7.2,0.0
Herbst,3.1,0.0
Herbst,2.9,0.0
Herbst,3.2,0.0
Herbst,5.4,0.0
Herbst,6.7,0.3
Herbst,6.9,12.7
Herbst,5.8,0.0
Herbst,5.2,7.6
Herbst,6.8,2.7
Herbst,6.0,0.0
Herbst,4.2,5.3
Herbst,4.4,12.4
Herbst,2.9,10.9
Herbst,4.3,30.7
Herbst,0.2,5.0
Herbst,-1.6,0.5
Herbst,-0.6,5.6
Herbst,1.5,7.7
Herbst,10.8,0.0
Herbst,11.7,6.3
Herbst,6.6,0.9
Herbst,6.7,8.1
Herbst,4.8,1.2
Herbst,2.4,0.0
Herbst,3.6,0.0
Winter,4.1,0.1
Winter,6.2,7.5
Winter,3.8,2.9
Winter,1.9,0.3
Winter,2.3,16.8
Winter,5.1,9.0
Winter,5.0,1.7
Winter,4.0,0.3
Winter,2.3,2.6
Winter,2.5,0.0
Winter,0.1,0.0
Winter,-0.8,0.0
Winter,-2.1,0.0
Winter,-0.1,2.8
Winter,4.3,3.8
Winter,7.8,3.0
Winter,6.0,0.8
Winter,7.4,10.0
Winter,6.7,21.6
Winter,2.0,0.9
Winter,4.3,16.7
Winter,2.3,8.8
Winter,2.1,1.4
Winter,2.5,2.2
Winter,4.6,0.1
Winter,3.0,0.0
Winter,1.7,0.0
Winter,2.1,0.0
Winter,-1.1,0.0
Winter,-0.6,0.0
Winter,-1.5,0.0
Sommer,22.5,
